username,comments
olivia_wawiyai,"Seng bisa Yura org"" terlalu ngotot 🤣🤣"
ilhamda12,"Hargai sja keputusan MRP, kan sdh jelas keputusannya harus orang asli Papua, emangnya ada orang Papua marga Umlati, jangan memaksakan sesuatu yg bukan haknya, terlalu haus kekuasaan skli. Ini jga yg demo patut d pertanyakan kepapuannya, yg kalian bela itu sdh memberikan apa smpai kalian bisa sbgtunya. Jgn mau d adu dombalah."
estynona_,Dong yang demo sa yang MALU 🔥
___zudokato,"R4 saja su trada perkembangan dan kemajuan, beberapa tahun lalu orang2 yg kerja di kanto bupati di PHK banyak baru ko mo bikin susah PAPUA BARAT DAYA lagi.? Jiii manseren please help 🤧.. nanti ada yang bilang trus ko tra liat su 2 periode tu.? Hahaha KO PUNYA POWER, KO PUNYA KUASA, KO PUNYA UANG MAKA APA SAJA KO INGINKAN BARANG JALAN BIASA SAJA"
wiezyhe92,Sioooo saja
abcdefghijklmnapiboleh,"Indikator kegagalan itu bisa dilihat aspek ekonomi, dan 10th terakhir, tdk ada perputaran uang yang baik. Banyak orang mengeluh sampai ada jual kios, dll.  Salah satu contoh saja ini, tentang kegagalan. Dan berimbas pada yang lain. Baru, mo maju bikin apa di PBD lagi?  Masyarakat juga yg dimobilisasi kam lagi tau sendiri toh, cara kumpul masa pake apa?  Baru mo berjuang untuk orang² yg begini?? (TUTORIAL BUNUH DIRI NAMANYA)🔥"
kambuaya_21,Mirisssss skli 🤦‍♂️
iamgeiss,"OAP Yang Ikut Demo Ini, Kamu Sadar Diri Saja Sudah. Karena  Demo Sampai Capai Juga Keputusan MRPPBD Sudah Final."
angelicamslry,Rela
miselkin_f,"@lucywomsiwormirino94 iyaa turis dri luar kalau mau wisata ke raja ampat tdk masuk waisai dulu, 😭 sorong- tmpat wisata makanya waisai tara majuuuu"
itsmerachl22,Slesai demo bru nanti ambil kam pu uang bensin eee😂😂😂😂😂
damaskuz24,"ini yang komen"" ini memang maybrat dan sekitarnya ada maju bagaimana, waisai pembangunan rumah ibadah merata dan kunjungan wisata di waisai meningkat dari tahun ke tahun"
angelicamslry,Jang pikir demo bru ko blg bos afu bayar tenaga medis di rsud kabupaten rj4 sana
ijad_bruz,Orang asli yang Raja Ampat saja ada bahagia dengan keputusan mutlak dari MRP ni bru kamu yang demo ni orng mana ni?
amonsoor_18,Afu beli kam semua😭🤣
alfianmubarakmuh,"Itu ikat kepala warna merah sejak kapan orang Papua bgtu, perasaan orang Maluku sja yg ikat kepala kain merah"
tianrj08,#KawalputusanMRP#KawalKPU#
ichabetaubun,Pendemo bayaran gacooor 🔥
iamvincentkocu,"Manusia itu seberapa besar de pu pengaruh untuk provinsi ini ka,sampe merasa tersakiti sx klu tramaju? Yg korban bnyk untuk provinsi ini tp tra dpt kesempatan maju sj ada tenang kok.baru kau ini kimai manusia jalan sembarang ee."
reinnalldo_,"Kemarin su banting piring jdi, mungkin hari ini banting gelas kapa😅"
aisyaaaahburhan,Hari2 demooo
im__jho,Kam bubar eh bkn malu OAP sja😅
n_kmbya,"Afu blm kampanye lagi uang su habis bagi di org"" ngotot ini 😂😂"
lapak_bangbrew,Ngelunjak...
noharr____,"Bikin macet sj, pasukan amplop !"
jeanette_jilly,Sayang mama2 dorang ooo ada cuaca tdk bagus bgni baru jalan jauh dgn pakean bgtu.. Berbicara bisa tp jgn bikin susah diri kaah😢..
dummiesotaku.chan,Hadeh sulit jg eh mrp su perjuangkan hak oap tp mcm a sudahlah
earanoda39,Jika dilihat dari garis khatulistiwa 😂  Papua papua AN
juli_wonda,Jie... huaeee... pica...
edo_pizz,Bahhh sioo ini yg karena raja ampat dalam 10 tahun su kas kalah bali jadi 😂😂😂
ayuu_kecilll,Hujan lah wahai langit smpe banjir👏
phil.rivaldo___,TRA TAU MALU
kapala_topi,Kenapa waktu jd bupati raja 4 bisa lolos?
day__dacosta,"Lain kali kalau mau calonkan diri di tanah Papua, pelajari lgi UU OTSUS, biar tdk gagal paham. Jang terlalu ambisi untuk kekuasaan, ingat, semua ada depux aturan &Undang ""."
aciel_2021,Tra tau malu
niar_shizha,😂😂😂😂 paksa diri sekali...
labobar_lisya,Aiiimama…besok2 harus lebih semangatt lagi. Mulai dari pagi2 bgtu 😌
febby6606,Bayaran semua
echon.majefat06,Bah hujan² ni nanti km sakit lagi
rotiunyil_00,Tebak pengeluaran 😁
nursanie._,Ji memaksa smpe😌
geor.gekorwa,Kasihan ya AFU wkwkw
gibranchandraa_,@michaelsolossa weee barang belum seles” lg k 🤣
heysberd_mamoribo,Masi belum sadar lagi ka..
om_joni02,"Dapa wan bnyk jd turung pke pakean adat 😭 ,,, yan pentin akomodasi yelas 😂"
semy_doo24,Senang mandi hujan ee😂😂
aprilio_mmbrsr,"Kam jalan mengatasnamakan mama2 Papua , stop sdh , kemarin Tolak PBD baru skrg paling Ngotot Skali afu memang tra tau MALU"
aakkaa_____,Yg pakai pakaian Adat ni pasti nasi kotak dapat 2 🥱
echat_r_k_jitmau,Demo macam di KPU Maluku k jual smua pake kain merah jd sadar diri perlu… hrg diri dgn nasi padang
michaelsolossa,Ada pantas sorong hujan😔
soqspace_,MALUKU UTARA ADA BUKA PILKADA JUGA TUH GAS SUDAH MO 🤣🤣
novi_kaliele,Mace smpe su pegang bambu ni bahaya😢 dompet sesak memang
puntung4666,Maluku masi kosong itu pi calon su🤣🤣
abangnila46,"Lebih tepatnya itu klu mama su kawin kluar berarti ikut paitua dng ank"" Tdk mungkn mo dtng ambil saudara laki"" Pux hal adat lg atau kesulungan lagi Zz kira dari raja Ampat to jd pasti mengerti akan hal itu"
kgifelem,"UUD Otsus harus di tinjau kembali kalau MRP PBD ambil dari garis keturunan  Ayah/Bapak,  Yg di sebut OAP...kalau "" salah satu orang Tua Papua "" nanti hasil nya seperti begini...karena kalau bicara kultur n budaya orang Papua Perempuan tdk punya hak, yg punya hak anak lak-Laki.. keputusan MRP PBD ini kan beda sma UUD Otsus yg mengatur tentang Orang asli Papua."
andinauriel20,Jngn Paksa diri Tau rumah To plng sna Dasar numpang 😂
peter_gerids,MRP itu perwakilan mayoritas suara masyarakat papua.. kalo kam mau loncat MRP baru besok menang mo pimpin masyarakat apa?
___marselinahu,Plg tdk tau malu😂😂
sayunika_hae,"Bohhh nasi kotak & amplop bikin yg lain nama tengah rela🙃 hujan jga dong tahannn pas,bikin macet sja🤣"
maverick.blesskadith,Sa curiga nakes dan p3k guru Kab R4 dong pu gaji lambat masuk karna su pake bayar org2 yg ikut aksi ini 😭🤣
ferdierdi_17,"arus thu bahaya k ,,,kadang bisa bikin tengelam…😢😢 arus yg di laut mksdnya"
jejekuss,Afu ni de orang apa ka?
falen_safkaur,Sa baru tau kalo ada orang Papua yg pu budaya ikat kain di kepala🤣🤣 sa kira itu orang Maluku punya budaya
capittaliz,Kalo lolos juga tra mungkin tembus 01 PBD OAP kompak
meiiyy_kmb,Ibarat yg kangkung paksa kandung🥲
winwatem_,Habis demo tangan panas mo @ymimawatem 😭🤣🤣
billex13,Arahhhh😭🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
silvashop__,TAU MALU BOLEH
sythaalhamid225,Bukan masalah oap atau bukan. Pertumbuhan ekonomi pariwisata aja stagnan di Raja Ampat 🥴 padahal ekowisata raja ampat itu sangat potensial
vinny.septian,"PAK AFU JUGA JANGAN SERAKAH.  Jangan karena merasa punya uang, segalanya mau dibeli.. Gak usah rampas Hak Orang Asli Papua.  Buat bapak2 MRP, lakukan saja tes DNA supaya ketahuan AFU itu dari etnis mana 😁"
bernadusrivaldo19,Bubar sdh hujan itu
yonas_rejauw,"Yang jelas Ko trada hak maju di pilgub pbd karna ko bukan oap dan dia bupati yang nikmati buah tanggan Bpk almarhum Markus wamna dan  orang"" Yang datang demo ini  dari mana ini? 😂"
chybny_,"bah, tra kenyang 10 tahun kah?😂 Mau tambah lagi kah?😂"
landy_saint,"Bkn mo membela, tp raja ampat sj tdk ad pembangunan bru mau terapkan di Gubernur....sio saja sudah"
4h9106,"Serba salah, klo diloloskan..psti nnti ada demo lgi. Klo tdk d loloskan jga demo tetap lanjut trus. Klo lhat komentar2 di atas. Katanya ikut demo di bayar. Klo di bayar 500 ribu/hari. Lmyan jga. 1 mnggu ikut demo. Su boleh lh. Trserah ikut kubu mana. Yg pnting ada cuan...wkwkwkwkwkkwkw"
mf.erich,"10 Tahun menjabat tra bikin apa² di R4, baru kam paksa de kemari bikin apa. #KamParut. Maitua,Anak,Ipar,  su jadi anggota dewan to, cukup sudah. Papua ni kurang baik apa buat kamu.Kas kesempatan anak² terbaik Negeri ini untuk pimpin."
akuth_pbd,"Sa liat yg demo tadi nih, hampir cuma Pace dep keluarga besar dari Halmahera dan sebagian dari dep Om² mm Ade dong di Rj4 sj, sedangkan tong pux sodara"" pendatang yg lain dari Jawa Sumatra Kalimantan Sulawesi dll dong sama skli tdk ikut demo Krn dorang paham dan tau etika dimana bumi di pijak langit dijunjung, dorang tau ada undang"" yg menjamin hak dasar OAP utk memimpin Tanah Nya. Salam satu Nusa satu Bangsa saudaraku semua 🖐️🖐️"
fonatabasilva30,orang lain ada berusaha supaya jadi tuan tanah di negeri sendiri🙌 lain berusaha demi nasi kotak dan amplop yang isi 100rb😢 menayala papua² ku🤣🤣
bilyhembring,Sio sampe yang turun deng pakaian ada ni kayaknya de pu honor beda 😆🤭
awaaaaaptri_,❤️❤️🙌🔥👏👏👏
bijex.elbarca104,😂😂😂
_imsorryjesus_,arus (afu rakus)
albertinoronaldo,Lucu eee
victororay,Lebih baik Untuk BELAJAR menerima HASIL. Nnti kan masih ada 5 tahun lagi to ??? 😂😂😂 Tapi 5 tahun berikut bapa maju di bapa pu kampung Halaman ASLI saja...😂😂😂
ddebu16,Waduhhh😂
mas_will______,demo tapi jang bakar² jalan bikin macet boleh ohh😭🙌🏼
febbryant17____,lihat dari muka” yg demo nih mcm bukn OAP semua kh 🤣🤣
mcsmds,Semangat..
samuel___rpt,Terlalu tratau malu 🤮🤮
mamitha_momzevazora79,"Demo baru sampah plastik dll sepanjang jalan kenangan ,siooo sja kesadaran d mana kh, esmos  ee liat kebadakian tdi🤬"
iintan_naa,🔥🔥🔥
rthbrigadt,Serius ini demo apa ?
btricesd_0,"Sudahh,,,kumpul tua' adat Bru buktikan lewat jalur adat sj Bru buktikan klu memang OAP asli (suku Maya),bikin di R4 sana."
yusufyudefa,"Kasian rakyat  kecil yang di suruh ikut  demo nih, harusnya ada kerja🙃"
dihannnntaesa,🤣
karathseppy22,Terlalu rakuss
isewe_f,Sebenarnya yang mengakui AFU sebagai OAP ini orang yg tdk punya otak atau bgaimna ini ???
forlan_12,Maki dorang eee 😀🤣
wollongongjackass,Bikin macet... yg model gini jgn di jadikan pimpinan...
mes_bobot,"Orang MALUKU punya adat tu biasa ikat kain merah di kepala, masa km pake ada Maluku demo KPU Papua yang benar saja dong,pantas gak adat😂😂😂"
papeda.bungkus,Awokawokawokawok
taniaghee,Jiii maksuuuud 🤣🤣🤣
omy_febriana,Kam2 ini dpat bayar brp e 🥲
kajull_b,Yg pakai pakaian adat ni de pu amplop paling tebal🔥
novela_kptrw,TERLALU HAUS KEKUASAAN SAMPAI!!!!!!!
nvndlvwest,"Tau diri lebih baik, dari pada paksa diri.! Dong demo baru hujan turun kaitan itu anak adat, makanya turun hujan jadi bukti, mangkali pace de keturunan BMKG kapa😭🤣"
ranseaitim,Aparat kepolisian yg andalan tetap menjaga keamanan di kota sorong👏👏
rudy_rev,Sudahlah jangan terlalu rakus
darurat.korupsi,1 kata untuk yang DEMO dan hujan badai 👉👉👉👉
ewayori,"Berdoa Banyak Sodara Sodari ku Semua Ini  Adalah Pekerjaan Iblis Roh Pemecah Yang Memprovokasi tong orang Papua untuk baku kasih jatuh jelas"" AFU Itu Sdah Bikin Hancur Raja Ampat jangan Tong Pnya Provinsi yang belum 1 THN ini nanti hancur seperti Raja Ampat di tangan Seorang AFU"
_duwit4yrbb_,Kam semua baku tipu saja 🤣🤣🤣🤣
bryanletlora,"Bbeehh,,, Kam terlalu paksa diri sampe,,!!"
marseljitmau,"Yg pake atribut Harga diri ni, de amplop paling tebal kapa.😂😂😂😂😂"
bgzwhyustr_,Hobi demo
silvhyaa__,1 org dpt byr brpa ?? Maaf tnya sja
ungkevan,Berjuang untk rakyat atau berjuang untk bangun dinasti ?
guntamanuputty,ARUS LOVE 🤪 @oncho___
aprilio_mmbrsr,"Muka2 tukang panipu dari raja4 semua yang muncul depan PBD , baru bawa DTG masa ke KPU , sa macam lihat 3 trek keluar td dari kampung key kha.."
irsan.ehewoda123,Terlalu keliatan bahwa siapa yg rakus akan jabatan...
jezy3010,1 kepala isi amplop brp ni
aprilio_mmbrsr,"Kam Demo sampe bulan November ee supaya langsung Lantik Kam pu gubernur tukang Bikin Ricuh itu, jd gubernur untuk jalan bayar2 orang demi de pu kepentingan 🤣😂"
ima.msp,"Hujan tuh sio, nnti pulang kam sakit 🥹"
pcayau_,Sa yang anak asli Raja Ampat macam sa yang balik rasa malu k
sflss_14,"Kamu pergi aksi demo di R4 sana,karena kamu2 ini saja ni bikin kita mau pulang tidak bisa ikut Dpn walkot🫵🥵"
agaghshshssbbn,🤣
awakwabdaron026,🤣🤣🤣🤣🤣🤣
allowwwwwww__,Aruss love bnyk² ❤❤❤
cmroses_,Episode 2 😭
sitirahmaalting,Mau komen tapi tra jadi sudah 🤣 @kikizulqaidah
sitirahmaalting,@rustamtutupoho ada ko di situ to? 😂
joishbmsaja,Yang pake pakaian adat ni kayanya bayaran tersendiri kp🤣
ekiin0_,Kasihannn tra cpe ka😢😢
ligebri93,Sangat mengganggu aktivitas jalan utama. Maaf tidak pilih orang ini nanti pas pemilihan.  #AFUBIKINMACET
elroy_kirihio,Blm jadi apapa lagi su bkin susah org lain. Bgmn kalo jadi...😂
mairmarvick,semakin demo semakin menunjukkan dirinya haus & rakus akan kekuasaan
rakasandro,Bukan orng papua bru paksa diri smpe ee
masithaasnawirr,😂🤣
rakasandro,"Tdk malu ka sma yg pnya tanah jiiii stop bkin geli sda raja ampat sj tdk ada hasil apa"" bru mau sibuk pimpin sorong stop mimpi badaki sda 🖕🖕🖕🖕🖕🖕"
frankoisisir12,"Afuu sebenarnya tauu diri sajaa ada melakukan pembangunan apa di raja Ampat bruu mau maju provinsi lagii Bru sekarang mau kerja sama dengan LJ barang semua Tuhan tutup jalan sama"" Kam 2 karena sama"" gagal dan tidak membangun tapi melakukan politik kekeluargaan dan politik kelompok jadii Tuhan tutup jalan supaya yang maju di provinsi ini tuu orang l"" yang membangun dan punya visi dan misi yang jelas"
mendo_rumkorem,Lumaya 1 orang @ 100.000 den nasi ayam 🤣🤣
litagirot,"Sudahh kah.... pace LJ saja yg berjuang PBD tidak bisa mencaLonkan tapi macam tdk ada demo kayak begini.. masa yg minta"" Hak Kesulungan itu pake acara demo lagi 🤣 sayang mama"" deng bapa"" tuh ohh, hujan"" baru 🥲"
winowamea_,kam paksa sampe jih 🤣
viokarubuy,Kali ini MRP luar biasa keputusan yang baik dan benar🙏🏻🥹
_sicaantikkk,ARUS ❤
mellaaneeesiia__,"Ciri"" manusia tidak tau diri, Su datang tinggal di org pnya rmh, mkn di org pnya rmh baruu berteriak mo kuasai org pnya rmh jadi rmh pribadi yeikkk SADAR DIRII WOII!!!"
makurano18___,Tau berjuang untk mnghdirkan PBD jdi🤣🤣🤭
ayomisaulll_,Kam yang demo ni besok dong jadi gubernur Kam yang mengeluh paling banyak orang Papua seehh
brammasosendifu,"Bkin mcet sjah , orng mo mencari  susah perhambat gra"" kamu ini"
meilanmambrisauw,"BAWA PIRING2 SEMUA DARI RUMAH BARU BANTING DEPAN KANTOR KPU,tong tinggal di R4 dr pemekaran 10 thn itu R4 bagus, tp 10 mendtng ini macam kota mati, sampe tong rasa macam tong ini pemdatang karna amber semua yg ada di r4 itu kuasai tmpt2, mo heran tapi biar sdh nasi su jadi bubur. 🤣🤣🤣"
hernuskein,JILAT TRUSS
l_r0x_spackman96,Yang demo ni donk satu² orang dpt byr berapa ?😁🤦. ( AFU ) Bpk Harus Tau diri & Sadar diri sjh.🙏
kambuaya_norman,Maki dia dulu i
tiaraarfann,Km RELA smpe🤣
meysaba24,"Piwa... Km jalur nenek mama, masih bikin pengakuan LG 🤣🤣🤣 hncr e"
samuelick,yang demo nih orang Eropa kah jadi tidak tahu regulasi OTSUS.AFU kasih kam demo 1 orang berapa ka tanya saja
dwikid5_,"bikin macet saja, massa bayaran ini"
olivia_wawiyai,Kerja keras apa ee ? 🤣
isal_2223,AFU kalah ?? Bernard Sagrim jg akan kalah 🤣 kalah knp ?? karna pendukung LJ benci sm bernard sagrim 🤣 siioo yg menang harapannya semoga pak elisa kambu sajalah atau tidak pak john wayangkau 🤣 provinsi mau dipimpin mantan koruptor ini yg lucu sekali 🤣
rezamagri,Menyala 100rb 🔥🤣
official_kakadai_19,Sebelum demo dpat Amplop jdi suara Besar 😂😂😂😂😂
relaa_24,"Demoo smpe air mata darah keluar jg bsk PBD tuh akut yg stel jdi dri pada bikin cape diri lbih baik plng makan, mndi, cuci kaki, tangan, bru tidur sdhsorong ni lgi musim hujan, jln licin lgi kasihan nnti km smua jatuh 🤭🤭"
indrasukarmo,"Yang asli itu biasa tenang2 saja,tdk butuh pengakuan..."
ah80379,R4 Seram dan sekitarnya juga bagian dr PBD jd masi bagian OAP.
ariltamimaa,wih ad s bp🤣
wanu_mazmur_rouw,"Tong ambil contoh kecil saja,ruang tunggu pelabuhan raja 4 dari pace afu naik sampai sekarang tidak ada perubahan sama sekali.dan raja ampat yg di juluki sebagai the last paradsise tidak ada kemajuan sama sekali,contoh kecilnya lagi, kapal wisata yg berlayar di raja ampat pertahun nya harus bayar 100 s/d 200 juta pertahun,itu untuk 1 kapal saja,coba di kalikan 90 kapal wisata yg berlayar di perairan raja ampat su begitu mirisnya objek wisata seperto wayag tidak di perhatikan baik masalah sampah2nya.soo broh 2 periode saja tra bisa urus kabuten baik,apalagi mo urus propinsi ??ancur sudah tanah papua"
_jefrimustafa,ARUS menyala 🔥
febyyyyn,"MO BAKU MELAWAN APA, INTINYA ATTA YG HARUS PIMPIN PBD 🔥🔥🔥"
aprilio_mmbrsr,"Kitong Orang Raja Ampat asli nih tidak seperti Kam bgni , Torang nii : Kam tidak suka kita , iya sdh TDK apa2 , kita tidak akan paksa diri apa lagi sampai begini, kami orang raja Ampat nii , suku yang paling rendah diri dan tau diri , tidak seperti Manusia2 yang demo ini,minta tolong untuk jangan bikin kami sebagai orang Raja Ampat nih pu Citra Rusak Sudah ... Kam Ribut2 apa ? November tuh Orang su LANTIK GUBERNUR PILIHAN RAKYAT DAN PILIHAN NEGARA🔥"
sorong.raya30,Ikat kain merah ini kan adatnya Kei atau Maluku toh? Jadi secara tidak langsung AFU sudah menunjukan bahwa dia bukan OAP!!!
homeritin10,Datang merantau ke org punya TEMPAT ADA BAIKNYA SADAR DIRU 🤣 RAKUS sampe hahaha…
nadyaahasan19,ARUS 🖤❤❤
aprilio_mmbrsr,Minta MERDEKA tp dikasi OTSUS... dan OTSUS yg dikasi pun cacat... sungguh penderitaan dan kesedihan yg tiada akhir... seandainya KPU msh tdk harga Keputusan MRP ...maka percuma OTSUS...OTSUS hanyalah hiburan dan cerita dongeng semata
bigmountain9737,"Stengah mati brg apa, tra tau diri smpe.. jihh malule.. 😀😀"
canine.trovert_,"Model kam yg Non-OAP baru bataria MRP tentang hak kesulungan orang Papua ni, kam ke Jayapura boleh o kam tdk dapat kejar sampe kamu smua putussss tu hahaha WA WA WA"
andholyno,"AFU jadi Bupati saja pulau Sain dgn Pulau Piay de su lepas ke Halmahera, apalagi kalau jadi Gubernur. Bisa2 Raja Ampat de kas masuk ke Maluku Utara 😂"
aldostmx99,Kita ini anak-anak Tuhan tdk boleh baku marah
sarasmelanesya,Kalau Tamu ya! Tetap tamu & bukan pemilik ruma. Slm damai 🧡 🔥
11.dumpyss,"km cari brg apa ni, cukup raja ampat sj yg 10 tahun jdi kota mati k"
mrmdn11_,🤣🤣🤣🤣
mr.rkoropasi,Akhirnya selesai jg
samiyadismansa,"Sehat selalu komandan, 🤲👍"
damaskuz24,kam mo banggakan mantan bupati maybrat yg pernah terjerat kasus korupsi kah?
debbylwlta,🤣
debbylwlta,🤣🤣
ryan_wiliam15,Afu boleh tra rasis kalau yg lain aduh pos semua dong keluarga yg isi😂😂
alex.th3s1a,"Jng paksa diri OAP. Sadar diri, nanti di tny ko pny tanah adat dimana? Dan kamu pny suku sama keret itu berasal dari suku. Mana jadi stop paksa diri jadi OAP. Orang bisa lihat dari marga saja sdh jelas2 bukan orng papua, coba cek dulu, dia pny marga ada di daerah mana"
forlan_12,"Kamu orang maybrat yg ikut dlm aksi ini memang TDK punya moral & harga diri.,jual harga diri dengan nasi bungkus & uang 100 ribu dasar SAMPAH"
daungatal24,Lbh tepat maju di pilgub MALUKU.. Sesuai dgn bapa pu Garis Keturunan 🙏😁
owalincah,Neh kam kena hujan baru afu de tidur polo de maitua dirumah k sioo
breezya_annamaria,"perasaan pertanyaan MRP kemarin itu, Mendesak Pimpinan Pusat Partai Politik wajib mencalonkan Orang Asli Papua dari Wilayah Adat masing-masing untuk jabatan Gubernur dan Wakil Gubernur, dan Orang Asli Papua dari Kabupaten/Kota terkait sebagai Calon Bupati/Wakil Bupati dan Calon Walikota/Wakil Walikota dalam Pemilihan Kepala Daerah Tahun 2024, kalau ko asli papua jangan minta validasi dari LMA' orang lihat marga saja dong tau, serius tanya UMLATI ini dari raja4 kampung mana? kalau dari papua jauh sx dari OAP 25% itu jauh sx yesus, darah shu tacampur  ko mau ngotot apa di KPU? bedah lagi putusan MRP yang, Keanggotaan DPRP dan DPRK melalui pemilihan umum setidak-tidaknya 80% OAP dan 20% Non OAP.  TOLONG baca kah anak"" yang punya orang tua ada ikut demo kam kasih, dong baca komentar ini 🤣🫣 ko pegang 500/1jt tapi ini bukan soal uang, soal bagaimana PBD besok maju atau tidak? di tangan yang tepat atau tidak?"
_acaa.21,tim baca komen😂
_goldabs,"Yang merasa punya bpk,mm,kk,ade,ipar,nenek,tete yang ada ikut demo ni kam tolong skli untuk kunci dong dalam rmh saja k kasihan jangan terlalu bikin malu bgni. Org ada berusaha bicara hak OAP baru kam hanya dapat tampar dengan 500k langsung bisa antar diri kena panas mandi hujan sampai walkot tu sedihhhh 😩🤭😂"
femmy_agusthine,Datang cari makan minum sajaa tra usah menghayal jadi tuan 🤧.
msnimasipa,"Lucu yaaaaa yuhhhh  musim hujan ni jang telalu kumpul”, jalan licin 🤣🤣🤣"
etto_sr,😭😭😭
josephyumame10,Komoditas politik praktis semangat 🔥🔥
_1984wg,Jih kam paksa barang apa ni
fauss.sedik,"cari makan dan dapat tanah gratis itu kayanya cukup bersyukur dulu, stop ambisi lebih lagi!!🤣"
valentino.nauw,Tau malu boleh to.. 😢
samaria_krw,bikin adat antar maskawin ❎ bikin ada demo protes putusan KPU & pernyataan MRP ✅ 🤣🤣🤣🤣🤣🤣🤣
meilanmambrisauw,"Tuan Rumah buka pintu itu di suruh masuk tapi cukup duduk di ruang tamu, bukan masuk langsung mau kuasai isi dalam Rumah, Itu namanya TRATAU SOPAN, HUSSSSSSS PULANG SANA, 🤭"
pace_tana_mera,Ikat kain mera di kepala ni Kam pikir ini  d Maluku sana 😂😂
kebass________,"Trda orang Papua yg pke kain merah di kepala, jdi budayakan tahu diri & tahu malu."
cr_bapa7,Selagi ko bukan OAP jangan ko paksa sudah 🤣
_tempeeeee__,Raja Ampat tempelan beraksi😂😂
pns_brutal,Bikin Resah saja Bikin Jalan macet
feeeera__kmb,Malu sama kenyataan dan jati diri itu 😏👌🏻
olivia_wawiyai,"Seng bisa Yura org"" terlalu ngotot 🤣🤣"
ilhamda12,"Hargai sja keputusan MRP, kan sdh jelas keputusannya harus orang asli Papua, emangnya ada orang Papua marga Umlati, jangan memaksakan sesuatu yg bukan haknya, terlalu haus kekuasaan skli. Ini jga yg demo patut d pertanyakan kepapuannya, yg kalian bela itu sdh memberikan apa smpai kalian bisa sbgtunya. Jgn mau d adu dombalah."
estynona_,Dong yang demo sa yang MALU 🔥
___zudokato,"R4 saja su trada perkembangan dan kemajuan, beberapa tahun lalu orang2 yg kerja di kanto bupati di PHK banyak baru ko mo bikin susah PAPUA BARAT DAYA lagi.? Jiii manseren please help 🤧.. nanti ada yang bilang trus ko tra liat su 2 periode tu.? Hahaha KO PUNYA POWER, KO PUNYA KUASA, KO PUNYA UANG MAKA APA SAJA KO INGINKAN BARANG JALAN BIASA SAJA"
wiezyhe92,Sioooo saja
abcdefghijklmnapiboleh,"Indikator kegagalan itu bisa dilihat aspek ekonomi, dan 10th terakhir, tdk ada perputaran uang yang baik. Banyak orang mengeluh sampai ada jual kios, dll.  Salah satu contoh saja ini, tentang kegagalan. Dan berimbas pada yang lain. Baru, mo maju bikin apa di PBD lagi?  Masyarakat juga yg dimobilisasi kam lagi tau sendiri toh, cara kumpul masa pake apa?  Baru mo berjuang untuk orang² yg begini?? (TUTORIAL BUNUH DIRI NAMANYA)🔥"
kambuaya_21,Mirisssss skli 🤦‍♂️
iamgeiss,"OAP Yang Ikut Demo Ini, Kamu Sadar Diri Saja Sudah. Karena  Demo Sampai Capai Juga Keputusan MRPPBD Sudah Final."
angelicamslry,Rela
miselkin_f,"@lucywomsiwormirino94 iyaa turis dri luar kalau mau wisata ke raja ampat tdk masuk waisai dulu, 😭 sorong- tmpat wisata makanya waisai tara majuuuu"
itsmerachl22,Slesai demo bru nanti ambil kam pu uang bensin eee😂😂😂😂😂
damaskuz24,"ini yang komen"" ini memang maybrat dan sekitarnya ada maju bagaimana, waisai pembangunan rumah ibadah merata dan kunjungan wisata di waisai meningkat dari tahun ke tahun"
angelicamslry,Jang pikir demo bru ko blg bos afu bayar tenaga medis di rsud kabupaten rj4 sana
ijad_bruz,Orang asli yang Raja Ampat saja ada bahagia dengan keputusan mutlak dari MRP ni bru kamu yang demo ni orng mana ni?
amonsoor_18,Afu beli kam semua😭🤣
alfianmubarakmuh,"Itu ikat kepala warna merah sejak kapan orang Papua bgtu, perasaan orang Maluku sja yg ikat kepala kain merah"
tianrj08,#KawalputusanMRP#KawalKPU#
ichabetaubun,Pendemo bayaran gacooor 🔥
iamvincentkocu,"Manusia itu seberapa besar de pu pengaruh untuk provinsi ini ka,sampe merasa tersakiti sx klu tramaju? Yg korban bnyk untuk provinsi ini tp tra dpt kesempatan maju sj ada tenang kok.baru kau ini kimai manusia jalan sembarang ee."
reinnalldo_,"Kemarin su banting piring jdi, mungkin hari ini banting gelas kapa😅"
aisyaaaahburhan,Hari2 demooo
im__jho,Kam bubar eh bkn malu OAP sja😅
n_kmbya,"Afu blm kampanye lagi uang su habis bagi di org"" ngotot ini 😂😂"
lapak_bangbrew,Ngelunjak...
noharr____,"Bikin macet sj, pasukan amplop !"
jeanette_jilly,Sayang mama2 dorang ooo ada cuaca tdk bagus bgni baru jalan jauh dgn pakean bgtu.. Berbicara bisa tp jgn bikin susah diri kaah😢..
dummiesotaku.chan,Hadeh sulit jg eh mrp su perjuangkan hak oap tp mcm a sudahlah
earanoda39,Jika dilihat dari garis khatulistiwa 😂  Papua papua AN
juli_wonda,Jie... huaeee... pica...
edo_pizz,Bahhh sioo ini yg karena raja ampat dalam 10 tahun su kas kalah bali jadi 😂😂😂
ayuu_kecilll,Hujan lah wahai langit smpe banjir👏
phil.rivaldo___,TRA TAU MALU
kapala_topi,Kenapa waktu jd bupati raja 4 bisa lolos?
day__dacosta,"Lain kali kalau mau calonkan diri di tanah Papua, pelajari lgi UU OTSUS, biar tdk gagal paham. Jang terlalu ambisi untuk kekuasaan, ingat, semua ada depux aturan &Undang ""."
